record_id,source_id,province_id,province_name,subSgId,subSgName,sgTypecode,sggname,huboid,hbjname,jdname,doc_index,doc_type,official_record_status,external_official_search_status,accepted_source_policy
"320260603-4900-제주특별자치도-100163197-2-선거공약서","candidate-doc:100163197:2","4900","제주특별자치도","320260603","시·도지사선거","3","제주특별자치도","100163197","위성곤","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-4900-제주특별자치도-100157851-2-선거공약서","candidate-doc:100157851:2","4900","제주특별자치도","320260603","시·도지사선거","3","제주특별자치도","100157851","문성유","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"320260603-4900-제주특별자치도-100153886-2-선거공약서","candidate-doc:100153886:2","4900","제주특별자치도","320260603","시·도지사선거","3","제주특별자치도","100153886","양윤녕","무소속","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-종로구-100154016-2-선거공약서","candidate-doc:100154016:2","1100","서울특별시","420260603","구·시·군의 장선거","4","종로구","100154016","유찬종","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-종로구-100163635-2-선거공약서","candidate-doc:100163635:2","1100","서울특별시","420260603","구·시·군의 장선거","4","종로구","100163635","정문헌","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-중구-100154189-2-선거공약서","candidate-doc:100154189:2","1100","서울특별시","420260603","구·시·군의 장선거","4","중구","100154189","이동현","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-중구-100163124-2-선거공약서","candidate-doc:100163124:2","1100","서울특별시","420260603","구·시·군의 장선거","4","중구","100163124","김길성","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-중구-100157792-2-선거공약서","candidate-doc:100157792:2","1100","서울특별시","420260603","구·시·군의 장선거","4","중구","100157792","길기영","개혁신당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-용산구-100155683-2-선거공약서","candidate-doc:100155683:2","1100","서울특별시","420260603","구·시·군의 장선거","4","용산구","100155683","강태웅","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-용산구-100154458-2-선거공약서","candidate-doc:100154458:2","1100","서울특별시","420260603","구·시·군의 장선거","4","용산구","100154458","김경대","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-성동구-100154364-1-선거공보","candidate-doc:100154364:1","1100","서울특별시","420260603","구·시·군의 장선거","4","성동구","100154364","유보화","더불어민주당","1","선거공보","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-성동구-100154364-2-선거공약서","candidate-doc:100154364:2","1100","서울특별시","420260603","구·시·군의 장선거","4","성동구","100154364","유보화","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-성동구-100158996-1-선거공보","candidate-doc:100158996:1","1100","서울특별시","420260603","구·시·군의 장선거","4","성동구","100158996","고재현","국민의힘","1","선거공보","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-성동구-100158996-2-선거공약서","candidate-doc:100158996:2","1100","서울특별시","420260603","구·시·군의 장선거","4","성동구","100158996","고재현","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-성동구-100165564-1-선거공보","candidate-doc:100165564:1","1100","서울특별시","420260603","구·시·군의 장선거","4","성동구","100165564","정찬옥","개혁신당","1","선거공보","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
