record_id,province_name,subSgName,sggname,hbjname,jdname,doc_type,current_download_url,local_pdf,download_status,bytes,error
"620260603-5300-전주시나선거구-100156111-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시나선거구","조우영","조국혁신당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%82%98%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%A1%B0%EC%9A%B0%EC%98%81_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100156111_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시나선거구-100156111-1-선거공보.pdf","downloaded","8995929",""
"620260603-5300-전주시나선거구-100156335-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시나선거구","여민영","진보당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%82%98%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%97%AC%EB%AF%BC%EC%98%81_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100156335_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시나선거구-100156335-1-선거공보.pdf","downloaded","6311202",""
"620260603-5300-전주시다선거구-100156028-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시다선거구","김정명","더불어민주당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%8B%A4%EC%84%A0%EA%B1%B0%EA%B5%AC_%EA%B9%80%EC%A0%95%EB%AA%85_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100156028_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시다선거구-100156028-1-선거공보.pdf","downloaded","1941771",""
"620260603-5300-전주시다선거구-100156225-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시다선거구","이남숙","더불어민주당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%8B%A4%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%9D%B4%EB%82%A8%EC%88%99_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100156225_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시다선거구-100156225-1-선거공보.pdf","downloaded","5236827",""
"620260603-5300-전주시다선거구-100157192-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시다선거구","최주만","더불어민주당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%8B%A4%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%B5%9C%EC%A3%BC%EB%A7%8C_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100157192_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시다선거구-100157192-1-선거공보.pdf","downloaded","1022864",""
"620260603-5300-전주시다선거구-100156424-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시다선거구","김경찬","국민의힘","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%8B%A4%EC%84%A0%EA%B1%B0%EA%B5%AC_%EA%B9%80%EA%B2%BD%EC%B0%AC_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100156424_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시다선거구-100156424-1-선거공보.pdf","downloaded","1404081",""
"620260603-5300-전주시다선거구-100154619-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시다선거구","김주년","조국혁신당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%8B%A4%EC%84%A0%EA%B1%B0%EA%B5%AC_%EA%B9%80%EC%A3%BC%EB%85%84_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100154619_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시다선거구-100154619-1-선거공보.pdf","downloaded","6918532",""
"620260603-5300-전주시다선거구-100156899-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시다선거구","양영환","무소속","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%8B%A4%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%96%91%EC%98%81%ED%99%98_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100156899_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시다선거구-100156899-1-선거공보.pdf","downloaded","7514037",""
"620260603-5300-전주시라선거구-100154948-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시라선거구","심진철","더불어민주당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%9D%BC%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%8B%AC%EC%A7%84%EC%B2%A0_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100154948_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시라선거구-100154948-1-선거공보.pdf","downloaded","4256800",""
"620260603-5300-전주시라선거구-100156711-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시라선거구","최인호","조국혁신당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%9D%BC%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%B5%9C%EC%9D%B8%ED%98%B8_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100156711_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시라선거구-100156711-1-선거공보.pdf","downloaded","5423561",""
