record_id,record_type,voter_area,contest_id,contest_name,election_type,district,candidate_name,candidate_id,party_name,ballot_number,job,education,document_type,document_availability,source_id,official_url,github_entry,github_url,source_fileinfo,evidence
"unavailable-party-list-gyeonggi_proportional_council-기본소득당","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","기본소득당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-사회민주당","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","사회민주당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","0||","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-거지당","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","거지당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-공화당","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","공화당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-국민대통합당","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","국민대통합당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-국민연합","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","국민연합","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-기독당","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","기독당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-대한국민당","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","대한국민당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-새미래민주당","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","새미래민주당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","0||","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-자유와혁신","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","자유와혁신","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","0||","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-정의당","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","정의당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-친미연합","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","친미연합","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-국민당","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","국민당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-한국독립당","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","한국독립당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-gyeonggi_proportional_council-한나라당","party_list_document_status","운정2동","gyeonggi_proportional_council","경기도의원 비례대표","광역의원비례대표선거","경기도","","","한나라당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","1||HEIGHT","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-paju_proportional_council-더불어민주당","party_list_document_status","운정2동","paju_proportional_council","파주시의원 비례대표","기초의원비례대표선거","파주시","","","더불어민주당","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","0||","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
"unavailable-party-list-paju_proportional_council-국민의힘","party_list_document_status","운정2동","paju_proportional_council","파주시의원 비례대표","기초의원비례대표선거","파주시","","","국민의힘","","","","비례대표 정당 제출자료","unavailable_official_source","","","","","0||","Live policy.nec.go.kr API returned no downloadable PDF path in fileinfo."
